Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Andorra,AND,FDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDPgr,2.58355481,9.564612256,8.28677879,-11.18393994,2.015547638,1.58876549,0.34607189,3.70967807,1.434140395,2.504465521,-3.547596515,-4.974443719,-0.008069753,-1.974958,-5.302846543,-5.559186369,1.553188141,4.808688699,5.397795985,8.135676338,8.694203716,4.546362214,8.119357722,3.528362361
Andorra,AND,Oilrents,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Taxrevenue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,ControlCorruption,1.251356125,1.270272374,1.279687047,1.265453935,1.176189423,1.178940058,1.171781301,1.15941143,1.151729107,1.220693946,1.253580928,1.260530829,1.272298098,1.301772714,1.317764997,1.27677536,1.26187098,1.25131321,1.269663095,1.119150281,1.33278954,1.310743809,..,1.313403845
Andorra,AND,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP,84875162197,1.044E+11,66505129988,48501561204,70897962732,79450688259,73690154991,52761617226,90496420507,1.35967E+11,1.32339E+11,1.28053E+11,1.1179E+11,83799474070,70307196182,88538665085,65266415494,52381025141,36970900884,23552057679,17812704586,15285592370,8936079118,9129594970
Angola,AGO,FDI,-2.497352736,-6.320563843,-6.548542276,-3.848263987,-5.780813143,-8.125891109,-10.03837678,-0.340242829,11.08133903,2.690005647,-5.380130995,-1.143767779,-2.704873236,-3.8511115,3.136660683,1.896313897,-1.368762395,-0.072000996,-3.526657179,9.329239296,20.08101444,11.40619191,24.0090757,9.62386615
Angola,AGO,GDPgr,1.07809952,3.044726524,1.199210521,-5.638214717,-0.702272958,-1.316361689,-0.147212941,-2.580049644,0.943571561,4.82255927,4.954613031,8.542107076,3.472053148,4.398375938,0.860000002,11.16999999,14.01000001,11.55,15.02999999,10.95000001,2.99,13.66568876,4.205998556,3.054624234
Angola,AGO,Oilrents,..,..,28.27443988,18.57195951,27.50482864,30.73040273,24.71100601,19.74839883,12.71873031,21.73660745,29.00148461,34.33283895,38.61843582,37.70850918,29.77829952,52.10135812,45.39760365,40.27865209,42.22067832,32.96269551,27.11626575,31.76102925,42.59157668,57.51348396
Angola,AGO,Taxrevenue,..,..,..,..,10.0903858,9.644778503,9.223777502,9.732512484,11.00201902,13.54263016,14.18476266,14.82271911,16.10341244,16.59994721,18.36107923,25.65014986,21.49916056,23.38516999,17.10911781,18.07457012,17.17158036,15.53281183,29.24667572,28.70338216
Angola,AGO,ControlCorruption,-0.609920204,-0.612375736,-0.649475813,-0.935061216,-1.05461812,-1.199483871,-1.445171714,-1.483990431,-1.427726507,-1.458225965,-1.336971641,-1.302401423,-1.367469072,-1.332474947,-1.397766113,-1.308764577,-1.307493567,-1.241037726,-1.323181987,-1.377568841,-1.335463285,-1.155492663,..,-1.197514296
Angola,AGO,CPIA,..,..,..,..,..,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Antigua and Barbuda,ATG,GDP,2005785185,1866566667,1602125926,1411637037,1726448148,1661529630,1534855556,1489603704,1437485185,1378707407,1325496296,1364729630,1287359259,1298348148,1386518519,1557640741,1487381481,1303674074,1143896296,1026329630,948100000,898092592.6,877774074.1,901003703.7
Antigua and Barbuda,ATG,FDI,16.34966028,16.78322529,18.08949005,6.827660268,7.756302471,12.17751936,9.855756633,6.540798484,7.932232019,3.355541633,7.007593218,9.147097587,5.408828464,7.218601147,6.05699272,9.859357597,23.29947517,22.14752352,10.818663,10.1893673,12.67967699,10.34536344,16.61177788,10.71076287
Antigua and Barbuda,ATG,GDPgr,2.427363001,9.107806234,8.172863112,-18.86877652,3.172221937,6.712004872,2.71272658,4.120367544,1.421619976,2.198291887,-0.60098233,3.373142739,-1.958742622,-7.840506837,-11.96287947,-0.014006598,9.315182723,12.70814749,6.473689418,5.767103383,6.076636664,1.027234861,-4.548109771,6.203552126
Antigua and Barbuda,ATG,Oilrents,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
